budget,boxoffice
356000000,2797800564
260000000,1654645522
200000000,1072064691
175000000,1128274794
160000000,1131761808
183000000,1050693953
55000000,948601694
79000000,459236036
20000000,255105930
200000000,758910100
75000000,326563265
129000000,519896648
80000000,429434163
150000000,431705346
100000000,364571656
90000000,370755699
170000000,353284621
20000000,246985576
170000000,385900138
37500000,122752517
99000000,191306508
20000000,140040941
40000000,195179299
20000000,179111180
170000000,404852543
20000000,110883070
110000000,253890701
27000000,228552591
26000000,150686650
20000000,74747725
40000000,133365452
25000000,95677760
200000000,252442974
40000000,131417147
49000000,116552537
9000000,155712077
75000000,161315435
9000000,122133739
21000000,57469467
20000000,72216294
87500000,126566773
31000000,48791187
185000000,388464408
7000000,91526100
5000000,60582764
100000000,119559110
50000000,86940113
18000000,76087556
65000000,145026114
14000000,50444358
20000000,48800575
138000000,165637189
13500000,90510445
8000000,36599361
21000000,95017038
42000000,89542717
5000000,35656504
60000000,76419755
8500000,114102821
40000000,53397076
10000000,44902237
6000000,56828752
9000000,64503067
10000000,41123770
20000000,33766787
11000000,39058886
6000000,24624917
16000000,71746590
16000000,32390945
5300000,38908963
50000000,44664690
30000000,21360215
2777000,26120538
45000000,32450241
6200000,20521134
6000000,19320481
3000000,19601463
6000000,32893421
59000000,32140970
100000000,26249469
4000000,22367121
15000000,15383580
6000000,21150265
10000000,16412504
38000000,15880032
14000000,69497587
15000000,17928765
4000000,18640313
10000000,10209813
17300000,20296746
20000000,9963194
39000000,12119295
30000000,30918726
8000000,7699452
1500000,6424420
11000000,7253825
4000000,102949900
45000000,7781418
45000000,9732621
20000000,7776413