04/26/2019,2797800564
07/19/2019,1654645522
06/21/2019,1072064691
03/08/2019,1128274794
07/02/2019,1131761808
05/24/2019,1050693953
10/04/2019,948601694
09/06/2019,459236036
03/22/2019,255105930
08/02/2019,758910100
05/17/2019,326563265
02/22/2019,519896648
06/07/2019,429434163
05/10/2019,431705346
04/05/2019,364571656
07/26/2019,370755699
03/29/2019,353284621
01/18/2019,246985576
05/31/2019,385900138
01/11/2019,122752517
02/08/2019,191306508
09/13/2019,140040941
05/31/2019,195179299
09/20/2019,179111180
02/14/2019,404852543
08/16/2019,110883070
06/14/2019,253890701
06/26/2019,228552591
06/28/2019,150686650
03/01/2019,74747725
08/23/2019,133365452
08/09/2019,95677760
06/07/2019,252442974
10/11/2019,131417147
08/09/2019,116552537
01/04/2019,155712077
09/27/2019,161315435
04/19/2019,122133739
04/05/2019,57469467
02/08/2019,72216294
09/20/2019,126566773
02/13/2019,48791187
10/18/2019,388464408
03/15/2019,91526100
05/31/2019,60582764
03/15/2019,119559110
09/20/2019,86940113
01/11/2019,76087556
08/14/2019,145026114
04/17/2019,50444358
04/12/2019,48800575
10/11/2019,165637189
07/12/2019,90510445
05/03/2019,36599361
05/10/2019,95017038
10/18/2019,89542717
08/23/2019,35656504
02/08/2019,76419755
01/16/2019,114102821
05/03/2019,53397076
06/21/2019,44902237
08/21/2019,56828752
02/13/2019,64503067
07/03/2019,41123770
08/09/2019,33766787
02/22/2019,39058886
05/24/2019,24624917
05/17/2019,71746590
07/12/2019,32390945
08/16/2019,38908963
04/12/2019,44664690
06/14/2019,21360215
10/04/2019,26120538
05/03/2019,32450241
08/23/2019,20521134
03/29/2019,19320481
08/09/2019,19601463
05/24/2019,32893421
01/25/2019,32140970
04/12/2019,26249469
06/14/2019,22367121
02/01/2019,15383580
02/08/2019,21150265
05/10/2019,16412504
08/09/2019,15880032
04/12/2019,69497587
08/16/2019,17928765
03/01/2019,18640313
04/05/2019,10209813
03/29/2019,20296746
08/16/2019,9963194
01/25/2019,12119295
06/21/2019,30918726
04/17/2019,7699452
02/22/2019,6424420
10/11/2019,7253825
05/30/2019,102949900
10/18/2019,7781418
09/13/2019,9732621
05/10/2019,7776413