datetime,boxoffice
01/04/2019,155712077
01/11/2019,122752517
01/11/2019,76087556
01/16/2019,114102821
01/18/2019,246985576
01/25/2019,32140970
01/25/2019,12119295
02/01/2019,15383580
02/08/2019,191306508
02/08/2019,72216294
02/08/2019,76419755
02/08/2019,21150265
02/13/2019,48791187
02/13/2019,64503067
02/14/2019,404852543
02/22/2019,519896648
02/22/2019,39058886
02/22/2019,6424420
03/01/2019,74747725
03/01/2019,18640313
03/08/2019,1128274794
03/15/2019,91526100
03/15/2019,119559110
03/22/2019,255105930
03/29/2019,353284621
03/29/2019,19320481
03/29/2019,20296746
04/05/2019,364571656
04/05/2019,57469467
04/05/2019,10209813
04/12/2019,48800575
04/12/2019,44664690
04/12/2019,26249469
04/12/2019,69497587
04/17/2019,50444358
04/17/2019,7699452
04/19/2019,122133739
04/26/2019,2797800564
05/03/2019,36599361
05/03/2019,53397076
05/03/2019,32450241
05/10/2019,431705346
05/10/2019,95017038
05/10/2019,16412504
05/10/2019,7776413
05/17/2019,326563265
05/17/2019,71746590
05/24/2019,1050693953
05/24/2019,24624917
05/24/2019,32893421
05/30/2019,102949900
05/31/2019,385900138
05/31/2019,195179299
05/31/2019,60582764
06/07/2019,429434163
06/07/2019,252442974
06/14/2019,253890701
06/14/2019,21360215
06/14/2019,22367121
06/21/2019,1072064691
06/21/2019,44902237
06/21/2019,30918726
06/26/2019,228552591
06/28/2019,150686650
07/02/2019,1131761808
07/03/2019,41123770
07/12/2019,90510445
07/12/2019,32390945
07/19/2019,1654645522
07/26/2019,370755699
08/02/2019,758910100
08/09/2019,95677760
08/09/2019,116552537
08/09/2019,33766787
08/09/2019,19601463
08/09/2019,15880032
08/14/2019,145026114
08/16/2019,110883070
08/16/2019,38908963
08/16/2019,17928765
08/16/2019,9963194
08/21/2019,56828752
08/23/2019,133365452
08/23/2019,35656504
08/23/2019,20521134
09/06/2019,459236036
09/13/2019,140040941
09/13/2019,9732621
09/20/2019,179111180
09/20/2019,126566773
09/20/2019,86940113
09/27/2019,161315435
10/04/2019,948601694
10/04/2019,26120538
10/11/2019,131417147
10/11/2019,165637189
10/11/2019,7253825
10/18/2019,388464408
10/18/2019,89542717
10/18/2019,7781418