trends,boxoffice
100,2797800564
99,1654645522
69,1072064691
73,1128274794
61,1131761808
55,1050693953
100,948601694
44,459236036
38,255105930
17,758910100
22,326563265
15,519896648
9,429434163
26,431705346
30,364571656
37,370755699
18,353284621
35,246985576
33,385900138
16,122752517
11,191306508
25,140040941
18,195179299
18,179111180
17,404852543
13,110883070
10,253890701
19,228552591
26,150686650
10,74747725
7,133365452
20,95677760
21,252442974
17,131417147
14,116552537
11,155712077
6,161315435
17,122133739
6,57469467
11,72216294
15,126566773
15,48791187
13,388464408
14,91526100
9,60582764
11,119559110
10,86940113
1,76087556
4,145026114
16,50444358
7,48800575
13,165637189
14,90510445
11,36599361
13,95017038
14,89542717
10,35656504
12,76419755
16,114102821
14,53397076
4,44902237
13,56828752
8,64503067
24,41123770
9,33766787
10,39058886
16,24624917
0,71746590
11,32390945
14,38908963
13,44664690
5,21360215
5,26120538
3,32450241
6,20521134
4,19320481
1,19601463
6,32893421
1,32140970
3,26249469
3,22367121
2,15383580
4,21150265
2,16412504
4,15880032
8,69497587
2,17928765
2,18640313
1,10209813
2,20296746
0,9963194
4,12119295
3,30918726
4,7699452
1,6424420
1,7253825
3,102949900
2,7781418
2,9732621
2,7776413